comune,delta_rd_percent,delta_ru_totali,delta_ru_pro_capite
AGLIE',-66.64,-1563.893,-613.7727629513344
AGLIE',0.0,0.0,0.0
AGLIE',0.0,0.0,0.0
AGLIE',62.61,1330.664,511.2039953899347
AIRASCA,-61.69,-2032.627,-569.5228355281591
AIRASCA,0.0,0.0,0.0
AIRASCA,0.0,0.0,0.0
AIRASCA,72.24,1806.09,489.9864351600651
ALA DI STURA,-38.5,-369.621,-825.046875
ALA DI STURA,0.0,0.0,0.0
ALA DI STURA,0.0,0.0,0.0
ALA DI STURA,44.92,346.608,732.7864693446089
ALBIANO D'IVREA,80.69,708.703,437.7411982705374
ALBIANO D'IVREA,0.0,0.0,0.0
ALBIANO D'IVREA,-70.82,-678.742,-411.3587878787879
ALMESE,0.0,0.0,0.0
ALMESE,0.0,0.0,0.0
ALMESE,77.32,3594.304,568.4491538826506
ALMESE,-79.49,-3843.431,-596.0656017369727
ALPETTE,-36.72,-151.469,-636.4243697478992
ALPETTE,0.0,0.0,0.0
ALPETTE,35.34,153.29,620.6072874493927
ALPETTE,0.0,0.0,0.0
ALPIGNANO,0.0,0.0,0.0
ALPIGNANO,0.0,0.0,0.0
ALPIGNANO,67.11,7625.776,459.1351676801734
ALPIGNANO,-64.96,-7066.048,-422.307434855367
ANDEZENO,79.09,907.283,451.1601193436101
ANDEZENO,0.0,0.0,0.0
ANDEZENO,0.0,0.0,0.0
ANDEZENO,-74.4,-939.538,-462.82660098522166
ANDRATE,69.03,203.364,435.4689507494647
ANDRATE,0.0,0.0,0.0
ANDRATE,0.0,0.0,0.0
ANDRATE,-63.63,-200.063,-412.5010309278351
ANGROGNA,62.47,319.972,397.97512437810946
ANGROGNA,0.0,0.0,0.0
ANGROGNA,0.0,0.0,0.0
ANGROGNA,-63.05,-319.927,-381.7744630071599
ARIGNANO,0.0,0.0,0.0
ARIGNANO,62.65,444.998,413.95162790697674
ARIGNANO,0.0,0.0,0.0
ARIGNANO,-74.08,-487.531,-445.64076782449723
AVIGLIANA,71.03,8310.298,679.6122015047433
AVIGLIANA,0.0,0.0,0.0
AVIGLIANA,0.0,0.0,0.0
AVIGLIANA,-66.78,-7098.678,-566.7154718186173
AZEGLIO,0.0,0.0,0.0
AZEGLIO,-73.1,-673.464,-545.7568881685576
AZEGLIO,0.0,0.0,0.0
AZEGLIO,72.78,536.402,431.1913183279743
BAIRO,-71.35,-511.323,-657.2275064267352
BAIRO,62.39,480.754,612.4254777070064
BAIRO,0.0,0.0,0.0
BAIRO,0.0,0.0,0.0
BALANGERO,0.0,0.0,0.0
BALANGERO,0.0,0.0,0.0
BALANGERO,80.5,1241.997,405.6162638798171
BALANGERO,-81.71,-1143.939,-367.82604501607716
BALDISSERO CANAVESE,62.7,311.136,613.6804733727811
BALDISSERO CANAVESE,0.0,0.0,0.0
BALDISSERO CANAVESE,0.0,0.0,0.0
BALDISSERO CANAVESE,-65.3,-344.946,-649.6158192090395
BALDISSERO TORINESE,-83.05,-1339.762,-369.4875896304468
BALDISSERO TORINESE,0.0,0.0,0.0
BALDISSERO TORINESE,84.23,1428.967,380.85474413646057
BALDISSERO TORINESE,0.0,0.0,0.0
BALME,53.14,121.146,1211.46
BALME,0.0,0.0,0.0
BALME,0.0,0.0,0.0
BALME,-49.32,-177.963,-1574.8938053097345
BANCHETTE,0.0,0.0,0.0
BANCHETTE,0.0,0.0,0.0
BANCHETTE,-66.71,-1392.779,-450.1548157724628
BANCHETTE,75.41,1265.144,406.6679524268724
BARBANIA,0.0,0.0,0.0
BARBANIA,83.49,540.985,346.5631005765535
BARBANIA,0.0,0.0,0.0
BARBANIA,-82.19,-579.432,-368.83004455760664
BARDONECCHIA,56.06,3640.376,1221.6026845637584
BARDONECCHIA,0.0,0.0,0.0
BARDONECCHIA,0.0,0.0,0.0
BARDONECCHIA,-54.69,-3511.342,-1134.154392764858
BARONE CANAVESE,0.0,0.0,0.0
BARONE CANAVESE,3.010000000000005,27.32499999999999,49.14568345323744
BEINASCO,0.0,0.0,0.0
BEINASCO,0.0,0.0,0.0
BEINASCO,63.6,8777.805,502.68039170770817
BEINASCO,-65.49,-7880.822,-448.87064988323743
BIBIANA,56.35,1451.152,436.0432692307692
BIBIANA,0.0,0.0,0.0
BIBIANA,0.0,0.0,0.0
BIBIANA,-51.26,-1280.121,-372.02005231037487
BOBBIO PELLICE,-49.23,-295.121,-551.6280373831776
BOBBIO PELLICE,54.62,339.691,633.7518656716418
BOBBIO PELLICE,0.0,0.0,0.0
BOLLENGO,0.0,0.0,0.0
BOLLENGO,0.0,0.0,0.0
BOLLENGO,-68.27,-948.647,-448.7450331125828
BOLLENGO,67.56,931.569,439.8342776203966
BORGARO TORINESE,72.02,6938.841,591.8997696835281
BORGARO TORINESE,0.0,0.0,0.0
BORGARO TORINESE,0.0,0.0,0.0
BORGARO TORINESE,-57.8,-5381.27,-454.5759418820747
BORGIALLO,0.0,0.0,0.0
BORGIALLO,0.0,0.0,0.0
BORGIALLO,-52.3,-183.583,-312.74787052810905
BORGIALLO,51.53,192.198,326.8673469387755
BORGOFRANCO D'IVREA,72.48,1626.898,468.3068508923431
BORGOFRANCO D'IVREA,0.0,0.0,0.0
BORGOFRANCO D'IVREA,0.0,0.0,0.0
BORGOFRANCO D'IVREA,-71.29,-1659.523,-458.30516431924883
BORGOMASINO,0.0,0.0,0.0
BORGOMASINO,76.35,514.278,672.2588235294118
BORGOMASINO,-68.31,-425.769,-555.8342036553524
BORGOMASINO,0.0,0.0,0.0
BORGONE SUSA,0.0,0.0,0.0
BORGONE SUSA,0.0,0.0,0.0
BORGONE SUSA,-74.07,-1007.732,-460.36180904522615
BORGONE SUSA,73.49,1049.272,475.86031746031745
BOSCONERO,0.0,0.0,0.0
BOSCONERO,66.61,2097.069,681.9736585365854
BOSCONERO,-53.5,-1404.956,-455.8585334198572
BOSCONERO,0.0,0.0,0.0
BRANDIZZO,-65.26,-4023.937,-465.51793151318833
BRANDIZZO,0.0,0.0,0.0
BRANDIZZO,75.44,4487.748,516.3672764929237
BRICHERASIO,-55.89,-2213.292,-482.72453653217013
BRICHERASIO,0.0,0.0,0.0
BRICHERASIO,77.11,1770.335,383.60455037919826
BRICHERASIO,0.0,0.0,0.0
BROSSO,55.45,189.499,485.8948717948718
BROSSO,0.0,0.0,0.0
BROSSO,0.0,0.0,0.0
BROSSO,-56.83,-126.606,-312.6074074074074
BROZOLO,74.56,247.574,555.0986547085201
BROZOLO,0.0,0.0,0.0
BROZOLO,-66.22,-195.857,-437.18080357142856
BROZOLO,0.0,0.0,0.0
BRUINO,79.25,4212.388,499.51239179414205
BRUINO,0.0,0.0,0.0
BRUINO,0.0,0.0,0.0
BRUINO,-74.09,-4392.942,-515.7851356111307
BRUSASCO,-65.17,-657.07,-444.26639621365786
BRUSASCO,0.0,0.0,0.0
BRUSASCO,0.0,0.0,0.0
BRUSASCO,73.0,771.174,516.1807228915662
BRUZOLO,0.0,0.0,0.0
BRUZOLO,69.71,649.654,437.4774410774411
BRUZOLO,0.0,0.0,0.0
BRUZOLO,-74.35,-678.542,-451.7589880159787
BURIASCO,65.15,654.473,495.4375473126419
BURIASCO,0.0,0.0,0.0
BURIASCO,-64.73,-696.664,-519.8985074626866
BURIASCO,0.0,0.0,0.0
BUROLO,0.0,0.0,0.0
BUROLO,0.0,0.0,0.0
BUROLO,78.63,1158.661,1036.3694096601073
BUROLO,-77.41,-990.397,-884.2830357142857
BUSANO,46.37,832.015,524.2690611216132
BUSANO,0.0,0.0,0.0
BUSANO,0.0,0.0,0.0
BUSANO,-46.58,-810.878,-499.61675908810844
BUSSOLENO,0.0,0.0,0.0
BUSSOLENO,0.0,0.0,0.0
BUSSOLENO,61.76,2536.964,443.99089954497725
BUSSOLENO,-63.07,-2502.289,-431.8759061097687
BUTTIGLIERA ALTA,62.51,3302.054,532.331774947606
BUTTIGLIERA ALTA,0.0,0.0,0.0
BUTTIGLIERA ALTA,0.0,0.0,0.0
BUTTIGLIERA ALTA,-59.28,-3220.489,-505.4125863151287
CAFASSE,67.15,1473.008,446.0956995760145
CAFASSE,0.0,0.0,0.0
CAFASSE,0.0,0.0,0.0
CAFASSE,-65.18,-1510.956,-450.6280942439606
CALUSO,0.0,0.0,0.0
CALUSO,0.0,0.0,0.0
CALUSO,72.26,3883.428,526.6379170056957
CALUSO,-66.63,-3720.436,-502.6936900418862
CAMBIANO,0.0,0.0,0.0
CAMBIANO,84.64,2831.427,480.63605499915127
CAMBIANO,0.0,0.0,0.0
CAMBIANO,-84.35,-2653.795,-446.0159663865546
CAMPIGLIONE-FENILE,73.02,1081.909,825.8847328244275
CAMPIGLIONE-FENILE,0.0,0.0,0.0
CAMPIGLIONE-FENILE,0.0,0.0,0.0
CAMPIGLIONE-FENILE,-67.02,-906.119,-669.2163958641064
CANDIA CANAVESE,5.890000000000001,27.850000000000023,23.40336134453787
CANDIA CANAVESE,0.0,0.0,0.0
CANDIA CANAVESE,0.0,0.0,0.0
CANDIOLO,0.0,0.0,0.0
CANDIOLO,0.0,0.0,0.0
CANDIOLO,79.93,2894.263,515.3602207977208
CANDIOLO,-74.49,-2938.679,-520.1201769911504
CANISCHIO,53.46,117.913,438.3382899628253
CANISCHIO,-47.98,-123.052,-447.46181818181816
CANISCHIO,0.0,0.0,0.0
CANISCHIO,0.0,0.0,0.0
CANTALUPA,0.0,0.0,0.0
CANTALUPA,-58.67,-1184.742,-456.9001156961049
CANTALUPA,63.03,1337.01,514.4324740284725
CANTOIRA,0.0,0.0,0.0
CANTOIRA,-59.94,-325.448,-541.5108153078203
CANTOIRA,58.55,395.71,633.136
CAPRIE,72.3,902.52,446.3501483679525
CAPRIE,0.0,0.0,0.0
CAPRIE,0.0,0.0,0.0
CAPRIE,-69.37,-842.622,-408.2470930232558
CARAVINO,77.55,429.327,484.02142051860204
CARAVINO,-74.81,-479.131,-532.9599555061179
CARAVINO,0.0,0.0,0.0
CAREMA,68.44,351.199,479.1255115961801
CAREMA,0.0,0.0,0.0
CAREMA,-68.01,-352.911,-475.6212938005391
CAREMA,0.0,0.0,0.0
CARIGNANO,0.0,0.0,0.0
CARIGNANO,0.0,0.0,0.0
CARIGNANO,74.56,4729.632,517.975249151243
CARIGNANO,-72.21,-4385.679,-479.5712411153636
CARMAGNOLA,86.73,18678.688,664.1075161772026
CARMAGNOLA,0.0,0.0,0.0
CARMAGNOLA,0.0,0.0,0.0
CARMAGNOLA,-82.72,-13159.257,-464.30234281278666
CASALBORGONE,0.0,0.0,0.0
CASALBORGONE,0.0,0.0,0.0
CASALBORGONE,-64.96,-810.885,-433.3965793693212
CASALBORGONE,72.69,949.4,502.32804232804233
CASCINETTE D'IVREA,0.0,0.0,0.0
CASCINETTE D'IVREA,0.0,0.0,0.0
CASCINETTE D'IVREA,75.47,627.927,411.75540983606555
CASCINETTE D'IVREA,-74.5,-712.623,-463.0428849902534
CASELETTE,-75.86,-1690.344,-560.2731189923766
CASELETTE,0.0,0.0,0.0
CASELETTE,73.18,1751.512,578.6296663363066
CASELETTE,0.0,0.0,0.0
CASELLE TORINESE,0.0,0.0,0.0
CASELLE TORINESE,61.46,6576.893,476.55191652778785
CASELLE TORINESE,-63.56,-5894.593,-426.7115245403214
CASELLE TORINESE,0.0,0.0,0.0
CASTAGNETO PO,-65.26,-770.299,-440.4225271583762
CASTAGNETO PO,0.0,0.0,0.0
CASTAGNETO PO,68.31,780.264,439.09060213843554
CASTAGNETO PO,0.0,0.0,0.0
CASTAGNOLE PIEMONTE,0.0,0.0,0.0
CASTAGNOLE PIEMONTE,-72.78,-930.994,-428.83187471211426
CASTAGNOLE PIEMONTE,0.0,0.0,0.0
CASTAGNOLE PIEMONTE,74.25,953.601,432.0801993656547
CASTELLAMONTE,0.0,0.0,0.0
CASTELLAMONTE,0.0,0.0,0.0
CASTELLAMONTE,48.71,4525.376,462.2919603636735
CASTELLAMONTE,-42.44,-4357.454,-444.36610238629413
CASTELNUOVO NIGRA,34.34,202.845,509.6608040201005
CASTELNUOVO NIGRA,0.0,0.0,0.0
CASTELNUOVO NIGRA,0.0,0.0,0.0
CASTELNUOVO NIGRA,-40.79,-209.843,-499.62619047619046
CASTIGLIONE TORINESE,0.0,0.0,0.0
CASTIGLIONE TORINESE,-59.84,-2531.224,-390.3800123380629
CASTIGLIONE TORINESE,60.32,2381.201,365.3829983121068
CASTIGLIONE TORINESE,0.0,0.0,0.0
CAVAGNOLO,0.0,0.0,0.0
CAVAGNOLO,0.0,0.0,0.0
CAVAGNOLO,-65.06,-897.466,-388.5134199134199
CAVAGNOLO,74.69,1227.884,530.6326707000865
CAVOUR,-64.77,-2601.834,-485.77931292008964
CAVOUR,0.0,0.0,0.0
CAVOUR,74.08,2378.281,438.6353744005902
CAVOUR,0.0,0.0,0.0
CERCENASCO,0.0,0.0,0.0
CERCENASCO,61.41,717.056,406.95573212258796
CERCENASCO,-52.86,-745.717,-422.5025495750708
CERCENASCO,0.0,0.0,0.0
CERES,60.17,520.352,519.8321678321678
CERES,0.0,0.0,0.0
CERES,0.0,0.0,0.0
CERES,-50.91,-471.713,-454.4441233140655
CERESOLE REALE,33.01,209.235,1367.549019607843
CERESOLE REALE,0.0,0.0,0.0
CERESOLE REALE,0.0,0.0,0.0
CERESOLE REALE,-37.33,-231.319,-1401.9333333333334
CESANA TORINESE,40.33,1316.39,1474.120940649496
CESANA TORINESE,0.0,0.0,0.0
CESANA TORINESE,0.0,0.0,0.0
CESANA TORINESE,-40.2,-1280.079,-1380.883495145631
CHIALAMBERTO,44.52,344.247,1027.6029850746268
CHIALAMBERTO,0.0,0.0,0.0
CHIALAMBERTO,0.0,0.0,0.0
CHIALAMBERTO,-37.92,-343.661,-962.6358543417367
CHIANOCCO,69.94,830.813,548.3914191419142
CHIANOCCO,0.0,0.0,0.0
CHIANOCCO,0.0,0.0,0.0
CHIANOCCO,-71.19,-821.998,-517.3052234109502
CHIAVERANO,0.0,0.0,0.0
CHIAVERANO,78.0,770.684,391.210152284264
CHIAVERANO,0.0,0.0,0.0
CHIAVERANO,-71.46,-880.607,-428.31079766536965
CHIERI,0.0,0.0,0.0
CHIERI,0.0,0.0,0.0
CHIERI,-82.14,-16367.99,-455.78051904655825
CHIERI,83.52,17060.443,474.59991098005395
CHIESANUOVA,0.0,0.0,0.0
CHIESANUOVA,54.18,104.933,464.3053097345133
CHIESANUOVA,0.0,0.0,0.0
CHIESANUOVA,-50.01,-82.542,-352.7435897435897
